Date,Open,High,Low,Close,Volume
1/19/2017,103.07,106.46,102.98,105.16,16121778
1/18/2017,100.24,103.23,99.11,102.95,16360615
1/17/2017,103,103.2,100.57,101.11,14515259
1/13/2017,103.6,105,103.06,103.43,11445543
1/12/2017,104.23,104.7,101.62,103.44,15640414
1/11/2017,106,106.2,104.15,105.16,13141588
1/10/2017,107.81,109.19,105.63,106.47,22022969
1/9/2017,103.5,108,103.5,107.28,22906225
1/6/2017,102.85,104.25,101.2,103.1,20571416
1/5/2017,104.53,105.82,101.05,101.74,24607382
1/4/2017,103.4,105.5,101.53,104.39,29980506
1/3/2017,104.4,106.37,99.38,102.01,37549876
12/30/2016,111.35,111.92,106.3,106.74,30323259
12/29/2016,104.9,111.49,102.8,111.43,54384182
12/28/2016,119.6,119.93,108.69,109.25,57394116
12/27/2016,112.06,117.36,111.22,117.32,29856842
12/23/2016,106.38,109.84,106.27,109.78,16192331
12/22/2016,106.82,108.87,106.53,107.11,17965259
12/21/2016,105.64,105.95,103.71,105.83,14403361
12/20/2016,104.58,106.13,104.12,105.17,21201433
12/19/2016,99.7,102.45,99,101.63,18616431
12/16/2016,99.83,100.7,97.73,100.41,27238183
12/15/2016,96.9,99.94,96.6,98.71,18663653
12/14/2016,92.54,97.11,91.57,96.45,24599538
12/13/2016,90.09,92.29,90.05,91.17,9694874
12/12/2016,89.85,89.95,87.54,89.59,15033300
12/9/2016,94.2,94.27,90.71,91.82,9557799
12/8/2016,95.19,96.62,93.05,93.48,9538602
12/7/2016,92.84,95.3,92.1,95.07,12020093
12/6/2016,92.21,93.73,91.57,93.39,12469875
12/5/2016,89.99,92.61,89,91.88,15057125
12/2/2016,86.25,88.8,85.12,88.45,11957300
12/1/2016,92.1,92.17,84.77,87.64,25888074
11/30/2016,93.6,94.16,92.1,92.2,11012545
11/29/2016,94,94.44,92.53,93.25,11114187
11/28/2016,93.87,94.74,93.6,94.11,6968370
11/25/2016,94.42,95.1,93.41,94.16,4889078
11/23/2016,93.72,95.25,92.77,93.97,11080857
11/22/2016,93.3,93.74,92.38,93.65,8259232
11/21/2016,94.09,94.35,92.4,92.98,10910868
11/18/2016,92.39,94.33,91.8,93.36,14401499
11/17/2016,92.31,94.79,90.65,92.39,20824744
11/16/2016,87.34,92.56,86.35,91.63,24699644
11/15/2016,84.29,87.45,83.93,86.19,15652258
11/14/2016,88.09,88.19,83.62,83.64,33719913
11/11/2016,79.51,88.77,78.5,87.97,54383633
11/10/2016,71.49,71.5,66.76,67.77,21732039
11/9/2016,69.23,70.9,68.72,69.96,11413254
11/8/2016,71.54,71.77,70.5,71.16,10747107
11/7/2016,69.55,71.72,69.5,71.27,12189524
11/4/2016,67.51,68.73,66.58,67.57,8219490
11/3/2016,69.08,69.14,66.64,67.96,7741593
11/2/2016,69.58,70.52,68.64,68.76,7396231
11/1/2016,71.42,71.81,68.29,69.05,11830629
10/31/2016,70.79,71.62,70.75,71.16,6309718
10/28/2016,71.02,72.1,70.43,70.56,7271374
10/27/2016,72.71,72.85,70.38,70.68,9716622
10/26/2016,71.27,72.95,71.2,72.16,8344781
10/25/2016,70.59,72.3,70.25,71.87,9936532
10/24/2016,68,70.79,67.99,70.71,8495946
10/21/2016,67.49,67.66,66.9,67.54,6987654
10/20/2016,67.25,67.95,66.3,67.73,7802072
10/19/2016,66.16,66.78,65.82,66.47,4976462
10/18/2016,66.52,66.99,66.25,66.61,6734274
10/17/2016,65.98,66.6,65.52,65.61,4883160
10/14/2016,66.15,66.6,65.6,65.99,8265851
10/13/2016,65.65,65.8,63.7,65.35,9752910
10/12/2016,65.86,66.78,65.31,66.43,10498025
10/11/2016,66.88,66.98,65.62,66.13,9713476
10/10/2016,67.2,67.56,66.47,67.1,7196868
10/7/2016,67.79,67.97,66.66,66.85,7156502
